index,first_pic,second_pic,locy,lure1,loc2y,lure2,loc3y,change,key
0,stimuli/scene/pairs/B2.jpg,stimuli/scene/pairs/A2.jpg,3,stimuli/scene/lures/2.jpg,1,stimuli/scene/lures/26.jpg,2,1,j
1,stimuli/scene/pairs/B10.jpg,stimuli/scene/pairs/A10.jpg,2,stimuli/scene/lures/5.jpg,1,stimuli/scene/lures/32.jpg,3,1,j
2,stimuli/scene/pairs/B17.jpg,stimuli/scene/pairs/B17.jpg,2,stimuli/scene/lures/12.jpg,1,stimuli/scene/lures/27.jpg,3,0,k
3,stimuli/scene/pairs/A9.jpg,stimuli/scene/pairs/A9.jpg,2,stimuli/scene/lures/15.jpg,3,stimuli/scene/lures/3.jpg,1,0,k
4,stimuli/scene/pairs/A13.jpg,stimuli/scene/pairs/A13.jpg,2,stimuli/scene/lures/7.jpg,3,stimuli/scene/lures/11.jpg,1,0,k
5,stimuli/scene/pairs/A11.jpg,stimuli/scene/pairs/A11.jpg,3,stimuli/scene/lures/36.jpg,1,stimuli/scene/lures/9.jpg,2,0,k
6,stimuli/scene/pairs/A5.jpg,stimuli/scene/pairs/A5.jpg,2,stimuli/scene/lures/24.jpg,1,stimuli/scene/lures/16.jpg,3,0,k
7,stimuli/scene/pairs/B3.jpg,stimuli/scene/pairs/A3.jpg,1,stimuli/scene/lures/14.jpg,3,stimuli/scene/lures/17.jpg,2,1,j
8,stimuli/scene/pairs/B4.jpg,stimuli/scene/pairs/B4.jpg,1,stimuli/scene/lures/35.jpg,2,stimuli/scene/lures/10.jpg,3,0,k
9,stimuli/scene/pairs/B7.jpg,stimuli/scene/pairs/A7.jpg,3,stimuli/scene/lures/29.jpg,1,stimuli/scene/lures/30.jpg,2,1,j
10,stimuli/scene/pairs/B15.jpg,stimuli/scene/pairs/B15.jpg,1,stimuli/scene/lures/21.jpg,2,stimuli/scene/lures/28.jpg,3,0,k
11,stimuli/scene/pairs/A1.jpg,stimuli/scene/pairs/B1.jpg,2,stimuli/scene/lures/6.jpg,3,stimuli/scene/lures/20.jpg,1,1,j
12,stimuli/scene/pairs/A12.jpg,stimuli/scene/pairs/A12.jpg,3,stimuli/scene/lures/34.jpg,1,stimuli/scene/lures/13.jpg,2,0,k
13,stimuli/scene/pairs/A8.jpg,stimuli/scene/pairs/B8.jpg,1,stimuli/scene/lures/4.jpg,3,stimuli/scene/lures/25.jpg,2,1,j
14,stimuli/scene/pairs/B6.jpg,stimuli/scene/pairs/B6.jpg,1,stimuli/scene/lures/31.jpg,3,stimuli/scene/lures/22.jpg,2,0,k
15,stimuli/scene/pairs/B18.jpg,stimuli/scene/pairs/A18.jpg,3,stimuli/scene/lures/1.jpg,2,stimuli/scene/lures/23.jpg,1,1,j
16,stimuli/scene/pairs/A16.jpg,stimuli/scene/pairs/B16.jpg,3,stimuli/scene/lures/8.jpg,2,stimuli/scene/lures/18.jpg,1,1,j
17,stimuli/scene/pairs/B14.jpg,stimuli/scene/pairs/A14.jpg,3,stimuli/scene/lures/19.jpg,1,stimuli/scene/lures/33.jpg,2,1,j
